Name,Density,S,Ar,R,As,TSI,CII,S_VALUE,P_VALUE,Y_POINT,STABILITY,ONE,TWO,THREE,FOUR,FIVE,Predicted_Class_All,Predicted_Class_Density,Predicted_Class_Density_Ar_As
SC,0.9034,42.4333333333333,43.8833333333333,9.85,3.83333333333333,1.03,0.861042183622829,5.69,,2,0.0,1,0,1,1,0,1,1,1
HI,0.9069,33.35,48.6166666666667,15.0333333333333,2.96666666666667,0.29,0.570568211573711,6.09,7.34247063011748,1,,1,1,1,1,1,1,1,1
LO,0.9084,24.1833333333333,44.4333333333333,27.15,4.23333333333333,2.49,0.39697322467986,4.78,,2,0.0,0,1,1,1,0,1,1,1
C1,0.9098,23.3833333333333,44.9666666666667,19.45,12.1666666666667,0.29,0.551875808538163,,,2,0.0,1,1,1,1,0,1,1,1
AR,0.912,21.0166666666667,63.85,10.6833333333333,4.06666666666667,5.23,0.336538461538462,2.86,2.25,1,0.0,0,1,1,1,0,1,1,1
CL,0.9123,23.2333333333333,46.2166666666667,17.5666666666667,12.9666666666667,0.24,0.567546380977267,4.28,2.0625,2,,1,1,1,1,0,1,1,1
HE,0.9317,25.3166666666667,50.4666666666667,17.5666666666667,6.63333333333333,1.73,0.469622733953944,4.96,1.66666666666667,3,0.0,0,1,1,1,0,1,1,1
EB/EK,0.9478,19.15,52.1333333333333,26.3333333333333,2.4,0.091,0.27463891248938,7.08,9.87475843872169,1,,1,1,1,1,1,1,1,1
HA,0.9478,7.45,52.2833333333333,20.95,19.3166666666667,2.1,0.365498406918525,3.4,2.66666666666667,1,0.0,0,1,1,1,1,1,1,1
ME,0.959,6.36666666666667,42.4833333333333,28.1166666666667,23.0166666666667,2.14,0.416194523135033,3.21,2.42857142857143,1,0.0,0,1,1,1,1,1,1,1
