Sample1,Sample2,Sample3,P1,P2,P3,P-Value1,P-Value2,P-Value3,P-ValueTotal
KI,RA/RO,,20,80,,"1,78","3,1",,"2,39"
KI,RA/RO,,35,65,,"1,78","3,1",,2
FO,RA/RO,,15,85,,,"3,1",,"3,25"
FO,RA/RO,,30,70,,,"3,1",,"3,09"
FO,RA/RO,,35,65,,,"3,1",,"3,14"
FO,RA/RO,,50,50,,,"3,1",,"3,24"
ML,RA/RO,,15,85,,,"3,1",,"3,32"
ML,RA/RO,,20,80,,,"3,1",,"3,48"
EKO,AL,,15,85,,,"2,31",,"2,45"
EKO,AL,,30,70,,,"2,31",,"2,65"
EKO,AL,,50,50,,,"2,31",,"2,76"
EKO,AL,,70,30,,,"2,31",,"3,67"
EKO,AL,,85,15,,,"2,31",,"3,81"
EKO,JS,,30,70,,,"3,5",,"2,81"
EKO,JS,,40,60,,,"3,5",,"2,95"
EKO,JS,,50,50,,,"3,5",,"2,99"
EKO,JS,,60,40,,,"3,5",,"3,05"
OS,AL,,5,95,,,"2,31",,"2,27"
OS,AL,,10,90,,,"2,31",,"2,24"
OS,AL,,15,85,,,"2,31",,"2,24"
OS,AL,,20,80,,,"2,31",,"2,24"
OS,AL,,25,75,,,"2,31",,"2,28"
OS,JS,,15,85,,,"3,5",,"3,46"
OS,JS,,25,75,,,"3,5",,"3,31"
OS,JS,,35,65,,,"3,5",,"3,4"
OS,JS,,45,55,,,"3,5",,"3,36"
OS,JS,,50,50,,,"3,5",,"3,25"
OS,JS,,55,45,,,"3,5",,"3,25"
FO,AL,,5,95,,,"2,31",,"2,4"
FO,AL,,10,90,,,"2,31",,"2,3"
FO,AL,,15,85,,,"2,31",,"2,33"
FO,JS,,15,85,,,"3,5",,"3,42"
FO,JS,,20,80,,,"3,5",,"3,53"
FO,JS,,25,75,,,"3,5",,"3,52"
FO,JS,,30,70,,,"3,5",,"3,51"
FO,JS,,35,65,,,"3,5",,"3,5"
IT,JS,,15,85,,"1,1","3,5",,"3,4"
IT,JS,,20,80,,"1,1","3,5",,"3,14"
IT,JS,,25,75,,"1,1","3,5",,"2,98"
IT,AL,,90,10,,"1,1","2,31",,"2,14"
IT,AL,,70,30,,"1,1","2,31",,"2,1"
CR,RO,,10,90,,"1,71","2,25",,"2,12"
CR,RO,,50,50,,"1,71","2,25",,"1,75"
CR,RO,,80,20,,"1,71","2,25",,"1,71"
WM,RO,,10,90,,"1,1","2,25",,"2,25"
WM,RO,,20,80,,"1,1","2,25",,2
WM,RO,,50,50,,"1,1","2,25",,"1,91"
WM,RO,,85,15,,"1,1","2,25",,"1,67"
KK,RO,,10,90,,"1,87","2,25",,"2,05"
KK,RO,,20,80,,"1,87","2,25",,"1,91"
KK,RO,,40,60,,"1,87","2,25",,"1,75"
KK,RO,,30,70,,"1,87","2,25",,"1,67"
RU/RO,RA/RO,,50,50,,"3,01","3,1",,"3,09"
ET,RA/RO,,10,90,,"1,63","3,1",,2
CP,RA/RO,,20,80,,"1,33","3,1",,"2,85"
JS,AL,,25,75,,"3,5","2,31",,"3,1"
JS,AL,,50,50,,"3,5","2,31",,"3,01"
JS,AL,,75,25,,"3,5","2,31",,"2,46"
AX,AL,,75,25,,,"2,31",,"2,34"
AX,AL,,50,50,,,"2,31",,"2,55"
AX,AL,,25,75,,,"2,31",,"2,79"
AS,JS,,5,95,,,"3,5",,"3,14"
AS,JS,,10,90,,,"3,5",,"3,07"
AS,JS,,15,85,,,"3,5",,"3,06"
AS,JS,,20,80,,,"3,5",,"2,87"
AS,AL,,5,95,,,"2,31",,"2,38"
AS,AL,,10,90,,,"2,31",,"2,2"
AS,AL,,15,85,,,"2,31",,2
AS,AL,,20,80,,,"2,31",,2
EF,RO,,10,90,,1,"2,25",,"1,74"
EF,RO,,25,75,,1,"2,25",,"1,85"
EF,RO,,50,50,,1,"2,25",,"1,56"
EF,RO,,90,10,,1,"2,25",,"1,13"
LN,RO,,25,75,,1,"2,25",,"1,67"
LN,RO,,50,50,,1,"2,25",,"1,45"
LN,RO,,75,25,,1,"2,25",,1
FG,RO,,10,90,,"1,71","2,25",,2
FG,RO,,35,65,,"1,71","2,25",,"1,85"
FG,RO,,75,25,,"1,71","2,25",,"1,75"
NP,RO,,20,80,,"2,81","2,25",,"2,37"
NP,RO,,50,50,,"2,81","2,25",,"2,05"
NP,RO,,80,20,,"2,81","2,25",,"1,75"
RB8,RO,,10,90,,"1,1","2,25",,"2,43"
RB8,RO,,50,50,,"1,1","2,25",,"1,97"
RB8,RO,,95,5,,"1,1","2,25",,"1,5"
CO,RO,,10,90,,"1,33","2,25",,"2,05"
CO,RO,,35,65,,"1,33","2,25",,"1,49"
CO,RO,,75,25,,"1,33","2,25",,"1,25"
TR,RO,,20,80,,"2,5","2,25",,"2,2"
TR,RO,,70,30,,"2,5","2,25",,"2,18"
LW,RO,,10,90,,1,"2,25",,"1,87"
LW,RO,,35,65,,1,"2,25",,"1,56"
LW,RO,,75,25,,1,"2,25",,"1,25"
EK0,JS,AL,15,"42,5","42,5",,"3,5","2,31","3,35"
EK0,JS,AL,30,35,35,,"3,5","2,31","3,19"
EK0,JS,AL,45,"27,5","27,5",,"3,5","2,31","2,79"
UG,JS,AL,30,35,35,"4,63","3,5","2,31","4,23"
UG,JS,AL,50,25,25,"4,63","3,5","2,31","3,5"
UG,JS,AL,70,15,15,"4,63","3,5","2,31","3,54"
BR,JS,AL,25,"37,5","37,5","5,47","3,5","2,31","2,93"
BR,JS,AL,50,25,25,"5,47","3,5","2,31","3,05"
BR,JS,AL,75,15,15,"5,47","3,5","2,31","2,97"
BT,JS,AL,10,45,45,"4,23","3,5","2,31","3,07"
BT,JS,AL,20,40,40,"4,23","3,5","2,31","2,76"
BT,JS,AL,30,35,35,"4,23","3,5","2,31","2,75"
SH,JS,AL,25,"37,5","37,5",,"3,5","2,31","2,98"
SH,JS,AL,50,25,25,,"3,5","2,31","2,74"
SH,JS,AL,75,"12,5","12,5",,"3,5","2,31","2,54"
OS,JS,AL,10,45,45,,"3,5","2,31","2,95"
OS,JS,AL,20,40,40,,"3,5","2,31",3
OS,JS,AL,30,35,35,,"3,5","2,31",3
OS,JS,AL,40,30,30,,"3,5","2,31","3,04"
OS,JS,AL,50,25,25,,"3,5","2,31","3,1"
FO,JS,AL,10,45,45,,"3,5","2,31","3,1"
FO,JS,AL,20,40,40,,"3,5","2,31","3,1"
FO,JS,AL,30,35,35,,"3,5","2,31","3,2"
FO,JS,AL,40,30,30,,"3,5","2,31","3,25"
IT,JS,AL,25,70,5,"1,1","3,5","2,31","3,12"
IT,JS,AL,20,70,10,"1,1","3,5","2,31","3,16"
IT,JS,AL,15,70,15,"1,1","3,5","2,31","3,21"
IT,JS,AL,30,60,10,"1,1","3,5","2,31","2,8"
IT,JS,AL,30,50,20,"1,1","3,5","2,31","3,01"
IT,JS,AL,30,40,30,"1,1","3,5","2,31","2,85"
IT,JS,AL,30,30,40,"1,1","3,5","2,31","2,58"
IT,JS,AL,30,20,50,"1,1","3,5","2,31","2,44"
IT,JS,AL,30,10,60,"1,1","3,5","2,31","2,39"
EK,RO,WM,10,60,30,"2,37","2,25",1,"2,05"
EK,RO,WM,10,40,50,"2,37","2,25",1,"1,87"
EK,RO,WM,10,10,80,"2,37","2,25",1,"1,67"
EK,RO,EF,10,60,30,"2,37","2,25",1,"1,91"
EK,RO,EF,10,40,50,"2,37","2,25",1,"1,83"
EK,RO,EF,10,10,80,"2,37","2,25",1,"1,57"
EK,RO,KK,10,20,70,"2,37","2,25","1,87","2,43"
EK,RO,KK,10,50,40,"2,37","2,25","1,87","2,33"
